model,human_score_shift,ai_score_shift,separation_change,accuracy_range,false_positive_rate_range,false_negative_rate_range,human_length_correlation,ai_length_correlation
logreg,-6.804481938184015,7.877678901976736,14.682160840160748,0.054241975666240005,0.043373493975903614,0.07068062827225131,-0.3831973529185903,0.5964804768216646
distilbert,-0.9506918196869372,0.0821917000338317,1.0328835197207695,0.006687894731292721,0.012048192771084338,0.004032258064516129,0.4024470610234695,0.032265910811506024
distilbert-lora,-0.3536890756752712,1.248144048815405,1.6018331244906818,0.005808790114264939,0.003990361445783132,0.011158503305100164,-0.25888140199921916,-0.3169190686876549
distilbert-mica,-0.14913082845253123,1.5499057151064761,1.6990365435590036,0.010440412049386838,0.007397029980386664,0.015706806282722512,0.15032955560777708,0.06567825196647387
modernbert,-0.927519836228981,1.3855119503280093,2.3130317865569907,0.010037641154328703,0.0112,0.010471204188481676,-0.28469771229357727,0.349020827742753
gpt2-variable,-2.359234582084458,0.24057443171480486,2.5998090137992733,0.03174092419860586,0.04824647519582245,0.001834862385321101,0.09645108283001594,0.2615449790366186
gpt2-fixed,2.686012169905961,0.15699936450100438,-2.529012805404946,0.04391945457428248,0.06920072054567167,0.0,0.24669226420211665,0.12173987961566339
qwen3-variable,-0.16491325441058374,0.28178429728401966,0.4466975516946121,0.0025094102885822034,0.0026109660574412533,0.002617801047120419,-0.6025415213992746,0.08856927988206238
qwen3-fixed,-0.7842434547986147,0.5694843711653306,1.3537278259639436,0.006273525721455453,0.007228915662650603,0.005235602094240838,-0.7176475845121775,0.15052039935454842
