training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,1.0,0.992133726647001,0.007866273352999054,139.2276
1014,0.02500061638600557,1.0,0.9988200589970502,0.0011799410029498247,214.1887
2028,0.05000123277201114,1.0,0.9980334316617503,0.001966568338249708,422.0457
4056,0.10000246554402228,1.0,0.9988200589970502,0.0011799410029498247,836.7145
10140,0.2500061638600557,0.9999013806706114,0.9990167158308751,0.00088466483973626,2071.8191
20280,0.5000123277201114,0.9999506903353057,0.9992133726647001,0.0007373176706055862,4146.6063
40559,1.0,0.9997287901575482,0.999803343166175,-7.45530086267987e-05,8291.4939
