training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,0.8793103448275862,0.8761061946902655,0.0032041501373206716,15.0304
1014,0.02500061638600557,0.9329388560157791,0.9154375614552606,0.01750129456051852,45.5291
2028,0.05000123277201114,0.9694280078895463,0.9528023598820059,0.016625648007540406,71.6128
4056,0.10000246554402228,0.9812623274161736,0.9714847590953786,0.009777568320795016,150.31
10140,0.2500061638600557,0.9891518737672583,0.9852507374631269,0.0039011363041314695,361.1029
20280,0.5000123277201114,0.9936883629191321,0.9913470993117011,0.0023412636074310322,961.8818
40559,1.0,0.9950196010749772,0.9948869223205506,0.00013267875442657395,1507.3175
