training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,1.0,0.9923303834808259,0.007669616519174083,172.5305
1014,0.02500061638600557,1.0,0.9927236971484759,0.007276302851524141,401.2085
2028,0.05000123277201114,1.0,0.9946902654867257,0.005309734513274322,802.7244
4056,0.10000246554402228,1.0,0.9960668633235005,0.003933136676499527,1606.55
10140,0.2500061638600557,1.0,0.9976401179941002,0.0023598820058997605,4005.2933
20280,0.5000123277201114,0.9999506903353057,0.9984267453294002,0.0015239450059054693,8009.9686
40559,1.0,1.0,0.9992133726647001,0.0007866273352998832,15967.2364
