training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,0.9975369458128078,0.9730580137659783,0.024478932046829494,10.9468
1014,0.02500061638600557,0.9960552268244576,0.9797443461160276,0.01631088070843001,23.39
2028,0.05000123277201114,1.0,0.991740412979351,0.008259587020648995,47.4916
4056,0.10000246554402228,1.0,0.9950835791543756,0.004916420845624381,95.0955
10140,0.2500061638600557,1.0,0.9958702064896755,0.004129793510324498,268.9964
20280,0.5000123277201114,0.9999013806706114,0.9978367748279253,0.0020646058426860847,444.0561
40559,1.0,0.9999013782391084,0.9978367748279253,0.0020646034111830858,1037.0139
