training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,0.8029556650246306,0.7850540806293018,0.01790158439532874,106.2185
1014,0.02500061638600557,0.9260355029585798,0.9132743362831859,0.012761166675393953,173.9583
2028,0.05000123277201114,0.9492110453648915,0.9382497541789577,0.010961291185933808,347.0262
4056,0.10000246554402228,0.9603057199211046,0.9514257620452311,0.008879957875873479,683.5475
10140,0.2500061638600557,0.9699211045364892,0.9683382497541789,0.001582854782310239,1691.6252
20280,0.5000123277201114,0.9836785009861932,0.9828908554572271,0.0007876455289661521,3384.8739
40559,1.0,0.982815158164649,0.9828908554572271,-7.569729257805857e-05,6767.1892
