training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,0.7758620689655172,0.7449360865290069,0.030925982436510346,86.2195
1014,0.02500061638600557,0.8875739644970414,0.8953785644051131,-0.007804599908071697,299.2332
2028,0.05000123277201114,0.9339250493096647,0.9242871189773845,0.00963793033228022,597.9189
4056,0.10000246554402228,0.9045857988165681,0.8977384464110127,0.00684735240555534,1190.8004
10140,0.2500061638600557,0.9086785009861933,0.903244837758112,0.005433663228081254,2989.8559
20280,0.5000123277201114,0.9418145956607495,0.9396263520157325,0.0021882436450170184,5979.8592
40559,1.0,0.9393229616114795,0.9374631268436578,0.0018598347678216998,8590.6937
