training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,0.8571428571428571,0.8595870206489675,-0.0024441635061104305,15.2128
1014,0.02500061638600557,0.9487179487179487,0.9301868239921337,0.018531124725814974,36.3869
2028,0.05000123277201114,0.9792899408284024,0.9689282202556538,0.010361720572748534,72.4932
4056,0.10000246554402228,0.9884122287968442,0.984267453294002,0.004144775502842202,144.9083
10140,0.2500061638600557,0.9942800788954635,0.9923303834808259,0.001949695414637631,364.8921
20280,0.5000123277201114,0.9976824457593688,0.9962635201573254,0.001418925602043375,805.563
40559,1.0,0.998496018146404,0.9972468043264503,0.0012492138199536873,1608.6932
