training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,1.0,0.943756145526057,0.05624385447394298,0.26398919097846374
1014,0.02500061638600557,1.0,0.9561455260570305,0.043854473942969485,0.6897665119613521
2028,0.05000123277201114,0.9980276134122288,0.9630285152409046,0.03499909817132418,1.513413288979791
4056,0.10000246554402228,0.9977810650887574,0.9718780727630285,0.025902992325728902,3.1258416129858233
10140,0.2500061638600557,0.9974358974358974,0.9756145526057031,0.021821344830194378,7.93029862100957
20280,0.5000123277201114,0.9986193293885601,0.9801376597836775,0.018481669604882622,15.82327268604422
40559,1.0,0.998496018146404,0.9821042281219272,0.01639179002447677,31.50890854501631
