training_samples,training_fraction,training_accuracy,validation_accuracy,generalization_gap,training_runtime_seconds
406,0.010010108730491383,0.9211822660098522,0.9036381514257621,0.01754411458409011,191.6431
1014,0.02500061638600557,0.9783037475345168,0.9531956735496558,0.025108073984860924,336.6147
2028,0.05000123277201114,0.9916173570019724,0.9791543756145527,0.012462981387419747,633.5996
4056,0.10000246554402228,0.996301775147929,0.9895771878072763,0.006724587340652621,1241.7094
10140,0.2500061638600557,0.9982248520710059,0.9937069813176008,0.00451787075340504,3119.9444
20280,0.5000123277201114,0.9984714003944773,0.9966568338249754,0.001814566569501963,6280.2156
40559,1.0,0.9989644715106388,0.9970501474926253,0.0019143240180135024,9277.719
