model,device,samples,batch_size,mean_latency_ms_per_text,std_latency_ms_per_text,mean_texts_per_second,std_texts_per_second,gpu_utilization_mean_percent,gpu_utilization_peak_percent,gpu_memory_allocated_peak_mb,gpu_memory_reserved_peak_mb,gpu_memory_used_peak_mb
logreg,cpu,5066,8,0.3362883380970867,0.0004515153095140117,2973.6429398509376,3.9930478619069745,,,,,
distilbert,cuda,5066,8,15.754836396249125,0.6044054642342167,63.55075886892838,2.5480762288550802,,,422.591796875,490.0,
distilbert-lora,cuda,5066,8,16.35594691823978,0.23352902244621965,61.14973370670823,0.8661009511559471,,,425.41357421875,482.0,
distilbert-mica,cuda,5066,8,16.423183336991954,0.1233852934086723,60.89229434981032,0.459077319387378,,,425.13232421875,482.0,
modernbert,cuda,5066,8,44.46518706647777,0.31122237812887094,22.490388554853435,0.15798389725184794,,,2004.6435546875,3412.0,
gpt2-fixed,cuda,5066,8,18.4572631639201,0.2640068372277159,54.187966574019846,0.7649756293621477,,,537.11767578125,590.0,
gpt2-variable,cuda,5066,8,17.316979196129797,0.4050675579316032,57.77206140492109,1.3505105515154012,,,537.11767578125,638.0,
qwen3-fixed,cuda,5066,8,107.5396893611937,0.07298975960448859,9.29889582658575,0.006312412552240652,,,1401.52685546875,1498.0,
qwen3-variable,cuda,5066,8,97.00809221753019,0.3784263058985254,10.308543303765024,0.04003244674685619,,,1401.52685546875,1498.0,
